Date,QQQ,UUP,FXE,FXY,FXNAX,SEGA.MI
12/21/2011,50.075294,21.686865,129.910004,126.110001,9.009549,101.440002
12/22/2011,50.502193,21.686865,129.990005,125.970001,9.017237,101.410004
12/23/2011,50.93819,21.696554,129.899994,126.120003,8.994191,101.510002
12/27/2011,51.128204,21.648104,130.169998,126.480003,9.001874,100.139999
12/28/2011,50.537281,21.851601,128.869995,126.410004,9.032596,100.360001
12/29/2011,50.900913,21.81284,129.149994,126.870003,9.040275,100.389999
12/30/2011,50.755466,21.774076,128.919998,127.93,9.070299,100.389999
1/3/2012,51.728218,21.589964,130.020004,128.460007,9.062604,99.959999
1/4/2012,51.946388,21.706245,128.960007,128.330002,9.047205,99.629997
1/5/2012,52.373684,21.938812,127.449997,127.459999,9.047205,99.339996
1/6/2012,52.555508,22.016336,126.709999,127.889999,9.062604,99.040001
1/9/2012,52.382763,21.938812,127.209999,128.169998,9.070299,99.199997
1/10/2012,52.764614,21.919434,127.220001,128.130005,9.062604,99.32
1/11/2012,52.873688,22.016336,126.559998,128.059998,9.085711,99.910004
1/12/2012,53.082783,21.870979,127.760002,128.220001,9.078006,100.730003
1/13/2012,52.891869,22.045406,126.330002,127.959999,9.09341,100.660004
1/17/2012,53.373692,21.967884,126.809998,128.160004,9.101107,100.760002
1/18/2012,54.082798,21.774076,128.089996,128.210007,9.085711,100.769997
1/19/2012,54.41917,21.657797,129.160004,127.620003,9.062604,100.639999
1/20/2012,54.337341,21.677177,128.789993,127.879997,9.047205,100.800003
1/23/2012,54.355522,21.551201,129.830002,127.879997,9.039508,100.910004
1/24/2012,54.255531,21.580275,129.729996,126.650002,9.047205,100.790001
1/25/2012,54.937359,21.48337,130.600006,126.639999,9.062604,100.910004
1/26/2012,54.746445,21.463987,130.479996,127.050003,9.09341,101.43
1/27/2012,54.910091,21.308945,131.630005,128.330002,9.101107,101.940002
1/30/2012,54.955544,21.386467,130.710007,128.929993,9.116504,101.849998
1/31/2012,55.028267,21.434919,130.270004,129.130005,9.154321,102.029999
2/1/2012,55.473732,21.338015,130.970001,129.070007,9.146609,102.580002
2/2/2012,55.646458,21.347708,130.880005,129.119995,9.154321,102.839996
2/3/2012,56.410107,21.347708,130.919998,128.559998,9.123454,102.660004
2/6/2012,56.364666,21.357397,130.729996,128.5,9.138887,102.910004
2/7/2012,56.482849,21.212042,131.970001,128.179993,9.115728,102.769997
2/8/2012,56.782848,21.231421,132.009995,127.790001,9.115728,102.800003
2/9/2012,57.191936,21.241112,132.279999,126.720001,9.108014,102.75
2/10/2012,56.791935,21.376776,131.179993,126.790001,9.123454,102.660004
2/13/2012,57.31921,21.347708,131.339996,126.860001,9.123454,102.779999
2/14/2012,57.46468,21.454298,130.639999,125.5,9.13117,102.790001
2/15/2012,57.064663,21.522131,130.059998,125.57,9.13117,102.599998
2/16/2012,57.846497,21.444609,130.839996,124.709999,9.108014,102.660004
2/17/2012,57.66468,21.444609,131.020004,123.769997,9.108014,102.870003
2/21/2012,57.828323,21.357397,131.820007,123.43,9.092575,103.059998
2/22/2012,57.564682,21.386467,131.850006,122.559998,9.115728,103.110001
2/23/2012,57.946503,21.221731,133.139999,123.129997,9.115728,103.220001
2/24/2012,58.146503,21.134518,134.070007,121.489998,9.115728,103.199997
2/27/2012,58.228313,21.202349,133.399994,122.169998,9.138887,103.440002
2/28/2012,58.819241,21.105448,134.020004,122.25,9.138887,103.589996
2/29/2012,58.555603,21.279873,132.619995,121.029999,9.144311,103.93
3/1/2012,59.019249,21.279873,132.479996,121.290001,9.136571,104.459999
3/2/2012,58.973797,21.425228,131.460007,120.309998,9.159777,104.650002
3/5/2012,58.364677,21.405848,131.600006,120.769997,9.144311,104.410004
3/6/2012,57.791954,21.54151,130.589996,121.669998,9.159777,104.059998
3/7/2012,58.237427,21.512442,130.880005,121.25,9.144311,104.290001
3/8/2012,58.864708,21.367085,132.080002,120.580002,9.128836,104.550003
3/12/2012,59.13744,21.54151,130.910004,119.639999,9.128836,104.470001
3/16/2012,60.576458,21.493061,131.080002,117.989998,9.059208,103.699997
3/20/2012,61.113762,21.415539,131.630005,117.489998,9.035993,103.800003
3/21/2012,61.122852,21.425228,131.470001,117.970001,9.059208,103.709999
3/22/2012,60.995396,21.454298,131.25,119.150002,9.059208,103.660004
3/23/2012,60.958958,21.338015,132.070007,119.360001,9.074672,103.879997
3/26/2012,62.02441,21.202349,132.960007,118.779999,9.074672,103.879997
3/27/2012,62.115486,21.279873,132.600006,118.300003,9.090152,103.75
3/28/2012,61.869595,21.270184,132.580002,118.760002,9.090152,103.849998
3/29/2012,61.632828,21.260494,132.309998,119.32,9.097881,103.599998
3/30/2012,61.514446,21.231421,132.720001,118.779999,9.095553,103.989998
4/2/2012,62.151882,21.182972,132.669998,119.830002,9.118821,104.07
4/3/2012,62.13369,21.338015,131.699997,118.739998,9.080053,103.919998
4/4/2012,61.286781,21.444609,130.75,119.32,9.095553,103.470001
4/5/2012,61.669247,21.512442,130.039993,119.360001,9.111069,103.300003
4/10/2012,60.221325,21.473679,130.190002,121.919998,9.173095,102.900002
4/11/2012,60.51273,21.444609,130.429993,121.559998,9.15759,103.18
4/12/2012,61.204811,21.299253,131.279999,121.610001,9.142087,103.449997
4/13/2012,60.275974,21.473679,130.149994,121.400002,9.173095,103.18
4/16/2012,59.602074,21.386467,130.740005,122.269997,9.165349,102.989998
4/18/2012,60.658436,21.376776,130.529999,121.050003,9.173095,103.279999
4/19/2012,59.975452,21.367085,130.690002,120.559998,9.173095,103.099998
4/23/2012,59.265137,21.318634,130.850006,121.199997,9.180856,102.849998
4/24/2012,58.946411,21.260494,131.199997,120.959999,9.173095,103.099998
5/2/2012,61.068233,21.221731,130.899994,122.669998,9.208836,103.760002
5/10/2012,58.454666,21.512442,128.789993,122.970001,9.216601,104.370003
5/15/2012,57.707916,21.822531,126.660004,122.519997,9.232143,103.68
5/16/2012,57.316334,21.870979,126.440002,122.440002,9.232143,103.669998
5/21/2012,56.924763,21.696554,127.559998,123.970001,9.224374,103.940002
5/25/2012,56.524071,22.113239,124.480003,123.389999,9.216601,104.849998
5/30/2012,56.760864,22.268282,123.059998,124.290001,9.247684,104.419998
5/31/2012,56.514984,22.277971,123.029999,125.43,9.285078,104.93
6/5/2012,55.658958,22.19076,123.910004,124.839996,9.277288,105.650002
6/6/2012,56.933865,22.006643,125.129997,123.989998,9.253922,105.400002
6/7/2012,56.706223,22.035715,125,123.5,9.2695,105.040001
6/11/2012,56.287304,22.132618,124.169998,123.720001,9.277288,104.419998
6/18/2012,58.032234,21.900051,125.089996,124.230003,9.285078,103.529999
6/19/2012,58.634655,21.735315,126.139999,124.489998,9.2695,101.980003
6/20/2012,58.680286,21.764387,126.129997,123.639999,9.2695,102.239998
6/21/2012,57.219898,21.996956,124.769997,122.400002,9.285078,102.660004
6/22/2012,57.822311,21.948503,124.93,122.230003,9.261711,102.739998
6/27/2012,57.411579,22.045406,123.980003,123.290001,9.277288,102.739998
6/29/2012,58.56163,21.774076,125.879997,122.940002,9.296767,102.739998
7/3/2012,59.227928,21.803148,125.43,123.040001,9.312384,102.739998
7/5/2012,59.264439,22.093857,123.220001,123.019997,9.32799,102.739998
7/6/2012,58.52512,22.239214,122.139999,123.43,9.343603,102.739998
7/11/2012,57.521103,22.268282,121.75,123.339996,9.359216,102.739998
7/12/2012,56.982582,22.316734,121.370003,123.919998,9.367023,102.739998
7/13/2012,57.849689,22.219831,121.720001,123.949997,9.367023,104.124001
7/16/2012,57.685398,22.152002,122.089996,124.610001,9.382632,102.739998
7/17/2012,57.986595,22.132618,122.169998,124.220001,9.37483,102.739998
7/18/2012,58.771561,22.113239,122.110001,124.669998,9.382632,104.417
7/23/2012,57.922707,22.297354,120.660004,125.339996,9.40605,104.152
7/24/2012,57.466335,22.384567,120.019997,125.650002,9.413857,103.452499
7/25/2012,57.082996,22.268282,120.849998,125.68,9.413857,102.682999
7/26/2012,57.840553,22.045406,122.150002,125.599998,9.40605,102.864502
7/27/2012,59.209694,22.035715,122.290001,125.139999,9.382632,103.748001
7/30/2012,59.164043,22.064787,121.860001,125.620003,9.398244,103.910004
7/31/2012,59.145786,22.006643,122.300003,125.739998,9.42562,104.140999
8/1/2012,58.972363,22.161692,121.5,125.150002,9.417797,104.327499
8/2/2012,58.762424,22.200451,121.099998,125.610001,9.42562,104.400497
8/3/2012,59.875973,21.929123,123.050003,125.040001,9.402154,104.325996
8/6/2012,60.332363,21.900051,123.209999,125.589996,9.40998,104.786003
8/7/2012,60.834373,21.900051,123.239998,124.919998,9.38651,104.531998
8/8/2012,60.80698,21.938812,122.860001,125.190002,9.37087,104.723999
8/10/2012,61.026051,21.977573,122.209999,125.5,9.378689,104.82
8/17/2012,62.358658,21.977573,122.589996,123.459999,9.316113,104.694
