"","QQQ.Adjusted","FEZ.Adjusted","AIA.Adjusted","VNQ.Adjusted","IQQP.DE.Adjusted","UUP.Adjusted","FXE.Adjusted","FXY.Adjusted","FXNAX.Adjusted","SEGA.MI.Adjusted"
"87",49.375557,21.123144,31.521986,36.093315,21,21.357395,134.576935,127.970001,9.022419,98.360001
"88",48.26165,20.330658,30.666769,35.005283,20.629999,21.599655,132.857101,127.360001,9.037792,97.470001
"89",47.890324,20.256586,30.489275,35.159756,20.51,21.725628,131.887192,126.760002,9.007047,96.540001
"90",49.556717,21.537895,31.699488,35.94556,21.5,21.638414,132.587128,126.339996,9.007047,97
"91",49.248791,21.663807,31.747881,35.891815,21.700001,21.560892,132.747101,126.470001,8.999361,97.290001
"92",51.069134,22.982153,33.450249,37.564194,22.469999,21.376776,133.837006,126.980003,9.00553,98.040001
"93",51.277412,22.752552,33.175945,37.221657,22.459999,21.434919,133.550003,126.32,9.036338,99.480003
"94",51.838928,23.115469,33.555141,37.537304,22.549999,21.434919,133.440002,126.769997,9.036338,100.650002
"95",51.694004,23.196939,33.256615,37.476879,22.43,21.415539,133.479996,126.769997,9.028635,100.709999
"96",51.694004,23.189531,33.313099,37.886566,22.48,21.386467,133.529999,126.830002,9.044046,100.5
"97",50.824596,22.17485,32.328796,37.026875,21.92,21.50275,132.850006,126.739998,9.059453,99.650002
"98",51.639671,23.004374,32.829014,37.839546,22.17,21.434919,133.199997,127.040001,9.028635,99.889999
"99",51.060074,21.923031,31.92539,37.167927,21.51,21.657795,131.389999,126.449997,9.044046,99.989998
"100",50.498566,21.345331,31.634939,36.731369,21.34,21.870983,129.800003,126.279999,9.059453,100.120003
"101",49.71067,21.03426,31.392897,36.946289,20.780001,21.919434,129.339996,126.199997,9.082564,100.480003
"102",49.574814,21.11573,31.279949,37.564194,21.030001,21.86129,129.639999,126.410004,9.074861,101.160004
"103",49.83004,20.882877,31.570398,37.980591,21.200001,21.793459,129.880005,126.57,9.091054,101.410004
"104",49.339554,20.815701,30.711588,37.651497,21.1,21.870983,129.429993,126.190002,9.09876,101.519997
"105",50.801949,21.771032,31.968975,38.793262,21.790001,21.686865,130.270004,126.480003,9.067921,101.730003
"106",50.075294,21.591902,32.174431,38.779839,21.67,21.686865,129.910004,126.110001,9.044785,101.440002
"107",50.502201,21.815807,32.519604,39.337288,21.85,21.686865,129.990005,125.970001,9.052497,101.410004
"108",50.938194,22.017326,32.445637,39.508419,22.1,21.696554,129.899994,126.120003,9.029366,101.510002
"109",51.128201,21.94269,32.20731,39.684963,22.190001,21.648104,130.169998,126.480003,9.037074,100.139999
"110",50.537277,21.412785,31.886795,39.209629,21.950001,21.851599,128.869995,126.410004,9.067921,100.360001
"111",50.900925,21.91283,32.256611,39.55595,22.280001,21.81284,129.149994,126.870003,9.075627,100.389999
"112",50.755474,22.02479,32.174431,39.386181,22.48,21.774078,128.919998,127.93,9.105778,100.389999
"113",51.728214,22.800997,33.152405,39.718925,22.889999,21.589964,130.020004,128.460007,9.098045,99.959999
"114",51.946396,22.360649,32.905857,39.039852,22.530001,21.706247,128.960007,128.330002,9.082584,99.629997
"115",52.373676,21.800879,32.840111,39.406544,22.01,21.938812,127.449997,127.459999,9.082584,99.339996
"116",52.555508,21.338146,32.527824,39.277527,21.65,22.016335,126.709999,127.889999,9.098045,99.040001
"117",52.382767,21.487411,32.642872,39.141716,21.549999,21.938812,127.209999,128.169998,9.105778,99.199997
"118",52.764595,21.965086,33.251026,39.576313,22.040001,21.919434,127.220001,128.130005,9.098045,99.32
"119",52.873676,21.897911,33.111313,39.85474,22.18,22.016335,126.559998,128.059998,9.121235,99.910004
"120",53.082767,22.114349,33.30854,39.562733,22.450001,21.870983,127.760002,128.220001,9.113506,100.730003
"121",52.891869,21.688931,33.234585,39.65102,22.25,22.045406,126.330002,127.959999,9.128969,100.660004
